subId,P(roi),P(largest),P(roi|largest),P(largest|roi),P(largest|child inhand),P(largest|parent inhand),P(roi|largest&child inhand),P(roi|largest&parent inhand),P(roi|largest&not inhand),P(largest&not inhand),P(largest&child inhand|roi),P(largest&parent inhand|roi),P(largest&not inhand|roi),P(largest&both inhand|roi),,,L+M+N-O,,P(largest|roi)
1213,0.617902472,1,0.251741578,0.407413127,0.225580838,0.263630157,0.525376938,0.705882353,0.094091591,0.667859529,0.191042471,0.147335907,0.101698842,0.032664093,,,0.407413127,,0.407413127
1214,0.788776422,1,0.265480798,0.336572938,0.363746468,0.168827899,0.544506104,0.711409396,0.074279379,0.604197678,0.231458766,0.090016984,0.056897528,0.04180034,,,0.336572938,,0.336572938
1215,0.700891266,1,0.288532383,0.411664971,0.235868807,0.166793602,0.723668639,0.343378995,0.166925332,0.68912656,0.207358427,0.063750424,0.164123432,0.023567311,,,0.411664971,,0.411664971
1216,0.833168887,1,0.524255879,0.629231225,0.503664459,0.253791258,0.881837307,0.931458699,0.17635596,0.506331196,0.496397908,0.052304352,0.107174578,0.026645613,,,0.629231225,,0.629231225
1217,0.551571078,1,0.289335358,0.524565862,0.334107218,0.452029291,0.475047378,0.57221307,0.087870739,0.527742086,0.23888183,0.220669208,0.084074545,0.01905972,,,0.524565862,,0.524565862
1218,0.789843186,1,0.350961223,0.444342914,0.320355136,0.335555062,0.469870328,0.706907967,0.105477776,0.482711108,0.153513873,0.266074099,0.064462535,0.039707593,,,0.444342914,,0.444342914
1219,0.807374016,1,0.343133957,0.425,0.354531922,0.129512963,0.886167483,0.898971001,0.07811245,0.670120433,0.316583333,0.080083333,0.064833333,0.0365,,,0.425,,0.425
1220,0.694914323,1,0.09734732,0.280170711,0.176120671,0.204695611,0.609971854,0.710086455,0.077019761,0.786522408,0.119892516,0.097368213,0.087173002,0.024263021,,,0.280170711,,0.280170711
1221,0.614097005,1,0.242815368,0.395402299,0.339759709,0.336170213,0.568667763,0.41209564,0.088735558,0.628415852,0.227093596,0.096223317,0.090804598,0.018719212,,,0.395402299,,0.395402299
1222,0.941554129,1,0.393181315,0.417587585,0.473465621,0.311235357,0.726445744,0.593669803,0.17539267,0.591985831,0.262873266,0.081589466,0.1102751,0.037150247,,,0.417587585,,0.417587585
1223,0.833868645,1,0.392568391,0.470779652,0.298848318,0.396984501,0.638493541,0.760661999,0.125053034,0.52209547,0.193651215,0.238079426,0.078297251,0.03924824,,,0.470779652,,0.470779652
1224,0.596015495,1,0.253735473,0.425719591,0.274356103,0.419960751,0.527158556,0.710947931,0.052168171,0.628527947,0.194870009,0.247214485,0.055013928,0.07137883,,,0.425719591,,0.425719591
1225,0.855033013,1,0.488706128,0.571564045,0.47808974,0.518550662,0.91072082,0.802719665,0.052014278,0.454303255,0.337194337,0.259906523,0.027636659,0.053173474,,,0.571564045,,0.571564045
1226,0.830128732,1,0.319528896,0.384914874,0.348835335,0.188174734,0.726432532,0.650835866,0.13203138,0.656368118,0.207469975,0.113039462,0.104394879,0.039989442,,,0.384914874,,0.384914874
1227,0.864455862,1,0.267258291,0.309163605,0.094026895,0.327374475,0.595343681,0.824786325,0.091302687,0.733582438,0.05802896,0.187702615,0.077480009,0.014047979,,,0.309163605,,0.309163605
1228,0.647299718,1,0.310084464,0.4790431,0.391354562,0.339159384,0.650505902,0.743558282,0.109167672,0.636549782,0.305061289,0.119810202,0.107354686,0.053183076,,,0.4790431,,0.4790431
1230,0.781279343,1,0.216607981,0.277247803,0.238853503,0.194675541,0.485777778,0.561111111,0.119497346,0.751877934,0.082100203,0.098625404,0.115000376,0.018553294,,,0.277172688,,0.277247803
1231,0.724847952,1,0.29141936,0.402042054,0.314782609,0.19167556,0.736385162,0.826837416,0.050561161,0.646369165,0.282955924,0.15012131,0.045086939,0.076122119,,,0.402042054,,0.402042054
1232,0.597995116,1,0.25639378,0.428755642,0.188620736,0.211682945,0.684774839,0.482697427,0.096426546,0.679732682,0.205888674,0.116913819,0.109606705,0.003653557,,,0.428755642,,0.428755642
1233,0.728043478,1,0.239891304,0.329501344,0.129971484,0.307671674,0.743648961,0.605928509,0.091452206,0.709565217,0.096148104,0.207524634,0.089131084,0.063302478,,,0.329501344,,0.329501344
1234,0.812958552,1,0.285469271,0.351148617,0.150383707,0.433969614,0.753680079,0.753141831,0.10162763,0.72005717,0.090014065,0.196671355,0.090014065,0.025550867,,,0.351148617,,0.351148617
1235,0.743440233,1,0.206719422,0.27805789,0.203404755,0.280934039,0.504329004,0.670951157,0.054266777,0.670276274,0.130532213,0.146218487,0.048926237,0.047619048,,,0.27805789,,0.27805789
1236,0.736532427,1,0.163702929,0.222261672,0.118635523,0.295341342,0.549575071,0.504960317,0.068295115,0.786872385,0.068879815,0.090360376,0.072962897,0.009941417,,,0.222261672,,0.222261672
