#,,base:cevent_eye_joint-attend_both,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,,cont_vision_size_obj#_child,,,,cont_vision_size_obj#_parent,,,,cevent_inhand_child,,,,,,cevent_inhand_parent,,,,,,cevent_eye_joint-attend_both,,,,,,cevent_eye_joint-attend_child-lead-moment_both,,,,,,cevent_eye_joint-attend_parent-lead-moment_both,,,,,,cstream_vision_largest-obj_child,,,,,,cstream_vision_largest-obj_parent,,,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_mean,,individual_median,,individual_mean,,individual_median,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,370.8,372.2,11,2,22,1,0,1.4,0,42.857,0,1,0,1.4,0,42.857,0,0.032519,0.032717,0.030008,0.032596,0,0,0,0,0,0.28571,0,0.4,0,42.857,0.95238,1,1.3333,1.4,42.857,42.857,1,0,1.4,0,42.857,0,0,0,0,0,0,0,1,0,1.4,0,42.857,0,0.047619,0.95238,0.066667,0.22222,42.857,257.14,0,0,0,0,0,0
1201,12,389.97,394.07,15,2,23,1,0,4.1,0,14.634,0,0.99919,0,4.0967,0,14.634,0,0.097528,0.03594,0.085951,0.035983,0,0,0,0,0.017073,1.4455,0.07,2.9633,14.634,29.268,1,1,4.1,4.1,14.634,14.634,1,0,4.1,0,14.634,0,0,0,0,0,0,0,1,0,4.1,0,14.634,0,0.72358,0.27642,0.74167,0.18889,58.537,87.805,0,0,0,0,0,0
1201,12,411.94,414.47,3,2,24,0.64427,0,0.815,0,47.431,0,0.99868,0,2.5267,0,23.715,0,0.072566,0.034346,0.068498,0.0343,0,0,0,0,0.067194,0,0.17,0,23.715,0,1.0553,0.83794,1.335,1.06,47.431,47.431,1,0,2.53,0,23.715,0,1,0,2.53,0,23.715,0,0,0,0,0,0,0,0.48748,0.51383,0.61667,0.1625,47.431,189.72,0,0,0,0,0,0
1201,12,419.67,420.97,3,2,25,0.77179,0,1.0033,0,46.154,0,0.48462,0,0.315,0,92.308,0,0.10655,0.03704,0.072572,0.036725,0,0,0,0,1.7923,0,1.165,0,92.308,0,0,1.6128,0,0.69889,0,138.46,1,0,1.3,0,46.154,0,1,0,1.3,0,46.154,0,0,0,0,0,0,0,0.76923,0.23077,0.5,0.3,92.308,46.154,0,0,0,0,0,0
1201,12,428.04,428.74,5,2,26,1,0,0.7,0,85.714,0,0.99048,0,0.69333,0,85.714,0,0.035271,0.038869,0.035117,0.038537,0,0,0,0,0,0,0,0,0,0,0.70476,1,0.49333,0.7,85.714,85.714,1,0,0.7,0,85.714,0,0,0,0,0,0,0,1,0,0.7,0,85.714,0,0,1,0,0.23333,0,257.14,0,0,0,0,0,0
1201,12,441.67,443.64,12,2,27,0.99662,0.0033841,1.9633,0.0066667,30.457,30.457,1,0,1.97,0,30.457,0,0.034037,0.030113,0.024891,0.02934,0,0,0,0,0,0,0,0,0,0,0.5753,1,1.1333,1.97,30.457,30.457,1,0,1.97,0,30.457,0,1,0,1.97,0,30.457,0,0,0,0,0,0,0,0.067682,0.93063,0.13333,0.16667,30.457,335.03,0,0,0,0,0,0
1201,12,462.1,462.8,8,2,28,1,0,0.7,0,85.714,0,1,0,0.7,0,85.714,0,0.11294,0.032134,0.11719,0.025396,0,0,0,0,1.1429,0,0.4,0,171.43,0,1,1,0.7,0.7,85.714,85.714,1,0,0.7,0,85.714,0,1,0,0.7,0,85.714,0,0,0,0,0,0,0,0.14286,0.85714,0.1,0.066667,85.714,771.43,0,0,0,0,0,0
1201,12,475.07,475.87,14,2,29,1,0,0.8,0,75,0,0.99583,0,0.79667,0,75,0,0.078325,0.036925,0.078363,0.037937,0,0,0,0,0,0,0,0,0,0,1,1,0.8,0.8,75,75,1,0,0.8,0,75,0,0,0,0,0,0,0,1,0,0.8,0,75,0,0.16667,0.83333,0.13333,0.13333,75,375,0,0,0,0,0,0
1201,12,477.27,478.7,14,2,30,1,0,1.43,0,41.958,0,1,0,1.43,0,41.958,0,0.10174,0.033565,0.10787,0.030975,0,0,0,0,0.34965,1,0.5,1.43,41.958,41.958,1.373,0,0.98167,0,83.916,0,1,0,1.43,0,41.958,0,1,0,1.43,0,41.958,0,0,0,0,0,0,0,0.48951,0.48951,0.23333,0.23333,125.87,125.87,0,0,0,0,0,0
1201,12,523.77,527.8,21,2,31,1,0,4.03,0,14.888,0,1,0,4.03,0,14.888,0,0.24755,0.027918,0.24499,0.028041,0,0,0,0,1.555,0,3.1333,0,29.777,0,0.61869,0.19851,1.2467,0.8,29.777,14.888,1,0,4.03,0,14.888,0,1,0,4.03,0,14.888,0,0,0,0,0,0,0,0.79404,0.19851,0.53333,0.088889,89.33,134,0,0,0,0,0,0
1201,12,529.4,533.07,21,2,32,1,0,3.67,0,16.349,0,0.99909,0,3.6667,0,16.349,0,0.32599,0.027032,0.38396,0.025308,0,0,0,0,0.19164,0,0.70333,0,16.349,0,1.0272,0,1.885,0,32.698,0,1,0,3.67,0,16.349,0,0,0,0,0,0,0,1,0,3.67,0,16.349,0,0.40872,0.59946,0.375,0.12941,65.395,277.93,0,0,0,0,0,0
1201,12,534.27,537.2,21,2,33,1,0,2.93,0,20.478,0,1,0,2.93,0,20.478,0,0.13125,0.032197,0.11206,0.030286,0,0,0,0,1.6473,0,1.2067,0,81.911,0,0,0,0,0,0,0,1,0,2.93,0,20.478,0,1,0,2.93,0,20.478,0,0,0,0,0,0,0,0.40956,0.5802,0.13333,0.089474,184.3,389.08,0,0,0,0,0,0
1201,12,540.74,555.34,1,2,34,0.92237,0,4.4889,0,12.329,0,0.95616,0,6.98,0,8.2192,0,0.084678,0.033818,0.054072,0.028818,0,0,0,0,0,1.2438,0,3.0267,0,24.658,1.0411,0.86073,5.0667,12.567,12.329,4.1096,1,0,14.6,0,4.1096,0,0,0,0,0,0,0,1,0,14.6,0,4.1096,0,0.57763,0.42237,0.2908,0.10632,119.18,238.36,0,0,0,0,0,0
1201,12,559,562.77,1,2,35,0.99912,0,3.7667,0,15.915,0,1,0,3.77,0,15.915,0,0.21347,0.058767,0.20571,0.051763,0,0,0,0,0.61892,1.1512,2.3333,2.17,15.915,31.83,0,0,0,0,0,0,1,0,3.77,0,15.915,0,1,0,3.77,0,15.915,0,0,0,0,0,0,0,0.22104,0.78691,0.20833,0.084762,63.66,557.03,0,0,0,0,0,0
1201,12,570.14,570.67,1,2,36,0.76101,0,0.40333,0,113.21,0,0.99371,0,0.52667,0,113.21,0,0.30625,0.032204,0.324,0.030137,0,0,0,0,1,1,0.53,0.53,113.21,113.21,0,1.4906,0,0.395,0,226.42,1,0,0.53,0,113.21,0,1,0,0.53,0,113.21,0,0,0,0,0,0,0,0.62893,0.37736,0.33333,0.1,113.21,226.42,0,0,0,0,0,0
1201,12,577.57,578.7,23,2,37,1,0,1.13,0,53.097,0,1,0,1.13,0,53.097,0,0.16336,0.047417,0.16005,0.044103,0,0,0,0,0.058997,1.295,0.066667,0.73167,53.097,106.19,0,1.885,0,1.065,0,106.19,1,0,1.13,0,53.097,0,1,0,1.13,0,53.097,0,0,0,0,0,0,0,0.67847,0.29499,0.76667,0.33333,53.097,53.097,0,0,0,0,0,0
1201,12,589.37,595.47,4,2,38,0.7541,0,1.5333,0,29.508,0,0.74809,0.081967,1.5211,0.5,29.508,9.8361,0.24439,0.030909,0.2379,0.027414,0,0,0,0,1.1158,0.29399,3.4033,0.89667,19.672,19.672,0.8082,0.25792,2.465,0.78667,19.672,19.672,1,0,6.1,0,9.8361,0,0,0,0,0,0,0,1,0,6.1,0,9.8361,0,0.55738,0.44262,0.24286,0.072973,137.7,363.93,0,0,0,0,0,0
1201,12,600.37,603.54,4,2,39,1,0,3.17,0,18.927,0,0.9979,0,3.1633,0,18.927,0,0.53562,0.10729,0.54001,0.094844,0,0,0,0,1,0.18086,3.17,0.57333,18.927,18.927,0,2,0,3.17,0,37.855,1,0,3.17,0,18.927,0,0,0,0,0,0,0,1,0,3.17,0,18.927,0,0.29443,0.70452,0.46667,0.062037,37.855,681.39,0,0,0,0,0,0
1201,12,604.6,605.2,4,2,40,1,0,0.6,0,100,100,1,0,0.6,0,100,0,0.13507,0.059681,0.13901,0.059152,0,0,0,0,1,1,0.6,0.6,100,100,0,1.9444,0,0.38889,0,300,1,0,0.6,0,100,0,1,0,0.6,0,100,0,0,0,0,0,0,0,0.44444,0.55556,0.13333,0.083333,200,400,0,0,0,0,0,0
1201,12,635.04,636.73,6,2,41,1,0,1.69,0,35.503,0,1,0,1.69,0,35.503,0,0.036943,0.025334,0.0314,0.024482,0,0,0,0,0,0,0,0,0,0,1,1,1.69,1.69,35.503,35.503,1,0,1.69,0,35.503,0,0,0,0,0,0,0,1,0,1.69,0,35.503,0,0.11834,0.86785,0.2,0.12222,35.503,426.04,0,0,0,0,0,0
1202,12,31.54,44.6,20,1,1,1,0,13.06,0,4.5942,0,1,0,13.06,0,4.5942,0,0.30077,0.049405,0.32543,0.047829,0.048684,0.03673,0.049355,0.036785,1.7279,0.15773,7.5222,2.06,13.783,4.5942,0,0,0,0,0,0,1,0,13.06,0,4.5942,0,0,0,0,0,0,0,1,0,13.06,0,4.5942,0,0.99796,0,13.033,0,4.5942,0,0.19653,0.80143,0.28519,0.61569,41.348,78.101
1202,12,50.9,53.67,20,1,2,1,0,2.77,0,21.661,0,0.9988,0,2.7667,0,21.661,0,0.25149,0.04389,0.24706,0.043784,0.045542,0.047297,0.04762,0.047144,2,0,2.77,0,43.321,0,0,0,0,0,0,0,1,0,2.77,0,21.661,0,1,0,2.77,0,21.661,0,0,0,0,0,0,0,1.0108,0,2.8,0,21.661,0,0,1.0108,0,2.8,0,21.661
1202,12,64.77,67.14,6,1,3,0.99719,0,2.3633,0,25.316,0,1,0,2.37,0,25.316,0,0.28506,0.071423,0.32816,0.069454,0.034311,0.035786,0.034311,0.034778,1,1,2.37,2.37,25.316,25.316,0,0,0,0,0,0,1,0,2.37,0,25.316,0,1,0,2.37,0,25.316,0,0,0,0,0,0,0,0.54852,0.45007,1.3,0.35556,25.316,75.949,0,0.99859,0,0.18205,0,329.11
1202,12,67.74,70.14,10,1,4,0.99722,0,2.3933,0,25,0,1,0,2.4,0,25,0,0.33527,0.065261,0.34088,0.062747,0.075358,0.03103,0.076736,0.031356,1,1,2.4,2.4,25,25,0,0,0,0,0,0,1,0,2.4,0,25,0,1,0,2.4,0,25,0,0,0,0,0,0,0,0.77778,0.22222,0.46667,0.17778,100,75,0.65278,0.34722,0.78333,0.83333,50,25
1202,12,70.8,73.14,6,1,5,1,0,2.34,0,25.641,0,0.64103,0.29915,0.75,0.7,51.282,25.641,0.32398,0.098327,0.31759,0.085655,0,0.033708,0,0.033076,1,1,2.34,2.34,25.641,25.641,0,0,0,0,0,0,1,0,2.34,0,25.641,0,1,0,2.34,0,25.641,0,0,0,0,0,0,0,0.7265,0.2849,0.56667,0.33333,76.923,51.282,0,1.0114,0,0.39444,0,153.85
1202,12,76.94,77.87,10,1,6,0.99642,0,0.92667,0,64.516,0,0.35125,0,0.32667,0,64.516,0,0.29932,0.10264,0.31322,0.10804,0.048317,0.031241,0.04849,0.032345,1,1,0.93,0.93,64.516,64.516,0,0,0,0,0,0,1,0,0.93,0,64.516,0,1,0,0.93,0,64.516,0,0,0,0,0,0,0,1.0036,0,0.93333,0,64.516,0,0.21505,0.78853,0.2,0.73333,64.516,64.516
1202,12,84.07,85.7,18,1,7,1,0,1.63,0,36.81,0,1,0,1.63,0,36.81,0,0.23174,0.067772,0.18726,0.067229,0.04227,0.028891,0.044155,0.029114,1,1,1.63,1.63,36.81,36.81,0,0,0,0,0,0,1,0,1.63,0,36.81,0,0,0,0,0,0,0,1,0,1.63,0,36.81,0,0.7362,0.2454,0.3,0.08,147.24,184.05,0.4499,0.5317,0.73333,0.21667,36.81,147.24
1202,12,88.07,88.64,10,1,8,1,0,0.57,0,105.26,0,0.9883,0,0.56333,0,105.26,0,0.33325,0.049416,0.32709,0.047784,0.028903,0.03381,0.028903,0.03359,1,1,0.57,0.57,105.26,105.26,0,0,0,0,0,0,1,0,0.57,0,105.26,0,1,0,0.57,0,105.26,0,0,0,0,0,0,0,0.93567,0.05848,0.26667,0.033333,210.53,105.26,0,0.99415,0,0.56667,0,105.26
1202,12,89.97,91.04,10,1,9,1,0,1.07,0,56.075,0,0.99377,0,1.0633,0,56.075,0,0.31162,0.050322,0.33542,0.052396,0.039477,0.034221,0.039839,0.034222,1,1,1.07,1.07,56.075,56.075,0,0,0,0,0,0,1,0,1.07,0,56.075,0,1,0,1.07,0,56.075,0,0,0,0,0,0,0,0.99688,0,1.0667,0,56.075,0,0,0.99688,0,0.53333,0,112.15
1202,12,91.44,92.57,6,1,10,1,0,1.13,0,53.097,0,0.99705,0,1.1267,0,53.097,0,0.18552,0.10508,0.18619,0.10593,0,0.038511,0,0.038113,1,1,1.13,1.13,53.097,53.097,0,0,0,0,0,0,1,0,1.13,0,53.097,0,0,0,0,0,0,0,1,0,1.13,0,53.097,0,0,1.0029,0,1.1333,0,53.097,0,1.0029,0,0.56667,0,106.19
1202,12,97.4,98,2,1,11,1,0,0.6,0,100,0,1,0,0.6,0,100,0,0.043519,0.08018,0.042332,0.079204,0,0.03319,0,0.032861,0,2,0,0.6,0,200,0,0,0,0,0,0,1,0,0.6,0,100,0,0,0,0,0,0,0,1,0,0.6,0,100,0,0,1,0,0.3,0,200,0,1,0,0.6,0,100
1202,12,105.8,108.44,23,1,12,1,0,2.64,0,22.727,0,0.7702,0,1.0167,0,45.455,0,0.16291,0.031788,0.16391,0.032457,0.097137,0.035689,0.10468,0.035893,0,1.846,0,2.4367,0,45.455,0.55556,0,1.4667,0,22.727,0,1,0,2.64,0,22.727,0,0,0,0,0,0,0,1,0,2.64,0,22.727,0,1.0101,0,2.6667,0,22.727,0,0.45455,0.55556,0.6,0.20952,45.455,159.09
1202,12,110.57,113.67,15,1,13,0.99892,0,3.0967,0,19.355,0,1,0,3.1,0,19.355,0,0.11489,0.062986,0.10948,0.057729,0.071439,0.046534,0.070929,0.044436,0,1.1495,0,1.7817,0,38.71,0.77419,0.16129,1.2,0.5,38.71,19.355,1,0,3.1,0,19.355,0,1,0,3.1,0,19.355,0,0,0,0,0,0,0,0.032258,0.96774,0.033333,0.75,58.065,77.419,0.30108,0.69892,0.23333,0.30952,77.419,135.48
