#,,base:cevent_inhand_child,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,,cont_vision_size_obj#_child,,,,cont_vision_size_obj#_parent,,,,cevent_inhand_child,,,,,,cevent_inhand_parent,,,,,,cevent_eye_joint-attend_both,,,,,,cevent_eye_joint-attend_child-lead-moment_both,,,,,,cevent_eye_joint-attend_parent-lead-moment_both,,,,,,cstream_vision_largest-obj_child,,,,,,cstream_vision_largest-obj_parent,,,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_mean,,individual_median,,individual_mean,,individual_median,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,159.27,164.33,17,1,22,1,0,5.0667,0,11.842,0,0.57237,0.15132,2.9,0.38333,11.842,23.684,0.22886,0.036215,0.21306,0.033466,0,0,0,0,1.9671,0,4.9833,0,23.684,0,0.41447,1.2566,1.05,2.1222,23.684,35.526,0.57105,0,2.8933,0,11.842,0,0.57105,0,2.8933,0,11.842,0,0,0,0,0,0,0,0.98684,0.013158,2.5,0.066667,23.684,11.842,0,0,0,0,0,0
1201,12,166.17,184.9,17,1,23,0.91459,0,8.5667,0,6.4057,0,0.69039,0,3.2333,0,12.811,0,0.20001,0.031644,0.19182,0.030927,0,0,0,0,1.8559,0,11.589,0,9.6085,0,0.82028,0,3.0733,0,16.014,0,0.69039,0,6.4667,0,6.4057,0,0.69039,0,6.4667,0,6.4057,0,0,0,0,0,0,0,0.7847,0.2153,2.1,0.15513,22.42,83.274,0,0,0,0,0,0
1201,12,166.73,179.03,17,1,24,0.86992,0,5.35,0,9.7561,0,0.52846,0,1.625,0,19.512,0,0.21607,0.031436,0.20681,0.030205,0,0,0,0,2,0,12.3,0,9.7561,0,0.42005,0,1.0333,0,24.39,0,0.52846,0,3.25,0,9.7561,0,0.52846,0,3.25,0,9.7561,0,0,0,0,0,0,0,0.84011,0.15989,2.5833,0.17879,19.512,53.659,0,0,0,0,0,0
1201,12,180.87,184.6,17,1,25,1,0,3.7333,0,16.071,0,1,0,3.7333,0,16.071,0,0.14045,0.032235,0.14355,0.033064,0,0,0,0,2,0,3.7333,0,32.143,0,1.3661,0,2.55,0,32.143,0,1,0,3.7333,0,16.071,0,1,0,3.7333,0,16.071,0,0,0,0,0,0,0,0.58036,0.41964,0.72222,0.12051,48.214,208.93,0,0,0,0,0,0
1201,12,201.83,215.9,17,1,26,1,0,14.067,0,4.2654,0,0.18246,0.47867,1.2833,0.56111,8.5308,51.185,0.2087,0.0432,0.20499,0.040662,0,0,0,0,1.8863,0,13.267,0,8.5308,0,0.4455,0.15403,3.1333,2.1667,8.5308,4.2654,0.21303,0,1.4983,0,8.5308,0,0.073223,0,1.03,0,4.2654,0,0.13981,0,1.9667,0,4.2654,0,0.81517,0.18483,3.8222,0.21667,12.796,51.185,0,0,0,0,0,0
1201,12,203.43,236.2,17,1,27,0.95829,0,15.7,0,3.6623,0,0.32757,0.29502,2.1467,0.74359,9.1556,23.805,0.20688,0.044502,0.20841,0.042187,0,0,0,0,1.8383,0,8.6048,0,12.818,0,0.29705,0.4527,1.9467,3.7083,9.1556,7.3245,0.35575,0,2.9142,0,7.3245,0,0.34456,0,3.7633,0,5.4934,0,0.01119,0,0.36667,0,1.8311,0,0.50865,0.49135,1.3889,0.27759,21.974,106.21,0,0,0,0,0,0
1201,12,216.5,226.33,17,1,28,0.94237,0,9.2667,0,6.1017,0,0.27458,0.16271,1.35,1.6,12.203,6.1017,0.13774,0.048315,0.13729,0.045774,0,0,0,0,2,0,9.8333,0,12.203,0,0,0.25424,0,1.25,0,12.203,0.27458,0,1.35,0,12.203,0,0.27458,0,1.35,0,12.203,0,0,0,0,0,0,0,0.067797,0.9322,0.16667,0.30556,24.407,183.05,0,0,0,0,0,0
1201,12,227.53,228.9,17,1,29,1,0,1.3667,0,43.902,0,0,0,0,0,0,0,0.26586,0.038595,0.27481,0.037343,0,0,0,0,2,0,1.3667,0,87.805,0,0.43902,1.2439,0.6,0.85,43.902,87.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90244,0.097561,1.2333,0.066667,43.902,87.805,0,0,0,0,0,0
1201,12,231.27,231.7,17,1,30,1,0,0.43333,0,138.46,0,1,0,0.43333,0,138.46,0,0.24579,0.04394,0.25729,0.040509,0,0,0,0,2,0,0.43333,0,276.92,0,1,1,0.43333,0.43333,138.46,138.46,1,0,0.43333,0,138.46,0,1,0,0.43333,0,138.46,0,0,0,0,0,0,0,1,0,0.43333,0,138.46,0,0,0,0,0,0,0
1201,12,232.1,234.07,17,1,31,1,0,1.9667,0,30.508,0,1,0,1.9667,0,30.508,0,0.15227,0.04319,0.16402,0.039368,0,0,0,0,2,0,1.9667,0,61.017,0,1,1,1.9667,1.9667,30.508,30.508,1,0,1.9667,0,30.508,0,1,0,1.9667,0,30.508,0,0,0,0,0,0,0,0.59322,0.40678,0.58333,0.2,61.017,122.03,0,0,0,0,0,0
