#,,base:cevent_vision_dom-joint-inhand_child,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,,cont_vision_size_obj#_child,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_mean,,individual_median,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,479,479.13,14,2,52,1,0,0.1333,0,450.11,0,0,0.49987,0,0.033317,0,900.23,0.17435,0.039818,0.18029,0.039919
1201,12,524.57,525,21,2,53,1,0,0.4333,0,138.47,0,1,0,0.4333,0,138.47,0,0.1628,0.02994,0.16191,0.030103
1201,12,532.37,533.3,21,2,54,1,0,0.9333,0,64.288,0,0.74999,0,0.69997,0,64.288,0,0.42242,0.030035,0.41917,0.029663
1201,12,555.03,555.07,15,2,55,0,1,0,0.0333,0,1801.8,0,1,0,0.0333,0,1801.8,0.44197,0.020265,0.44197,0.020265
1201,12,555.17,555.23,15,2,56,0,1,0,0.0666,0,900.9,0,1,0,0.0666,0,900.9,0.3312,0.063499,0.3312,0.063499
1201,12,591.07,591.1,4,2,57,1,0,0.0333,0,1801.8,0,1,0,0.0333,0,1801.8,0,0,0,0,0
1201,12,591.3,591.33,4,2,58,1,0,0.0333,0,1801.8,0,1,0,0.0333,0,1801.8,0,0.08332,0.026646,0.08332,0.026646
1201,12,591.4,591.9,4,2,59,0.66667,0,0.33333,0,120,0,1,0,0.5,0,120,0,0.2091,0.0289,0.22324,0.029154
1201,12,592.57,592.6,4,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,12,592.63,592.7,4,2,61,0,0,0,0,899.55,0,0,0,0,0,0,0,0.19524,0.03346,0.19524,0.03346
1201,12,592.73,592.77,4,2,62,1,0,0.0333,0,1801.8,0,0,0,0,0,0,0,0.23508,0.037802,0.23508,0.037802
1201,12,592.8,592.83,4,2,63,1,0,0.0333,0,1801.8,0,0,0,0,0,0,0,0.34328,0.034444,0.34328,0.034444
1201,12,602.97,603.1,15,2,64,0,1,0,0.1333,0,450.11,0,1,0,0.1333,0,450.11,0.22096,0.080415,0.24184,0.07326
1201,12,603.13,603.4,15,2,65,0,1,0,0.2667,0,224.97,0,1,0,0.2667,0,224.97,0.24542,0.071542,0.24105,0.070447
1201,12,604.6,604.63,15,2,66,0,1,0,0.0333,0,1801.8,0,1,0,0.0333,0,1801.8,0.16896,0.050844,0.16896,0.050844
1201,12,604.8,604.83,15,2,67,0,1,0,0.0333,0,1801.8,0,1,0,0.0333,0,1801.8,0.16429,0.067814,0.16429,0.067814
1201,12,605.93,606.43,15,2,68,1,0,0.5,0,120,0,0,1,0,0.5,0,120,0.18826,0.050949,0.19043,0.045928
1201,12,608.2,608.23,15,2,69,1,0,0.0333,0,1801.8,0,0,1,0,0.0333,0,1801.8,0.090234,0.040127,0.090234,0.040127
1201,12,608.3,608.33,15,2,70,1,0,0.0333,0,1801.8,0,0,1,0,0.0333,0,1801.8,0.11074,0.046774,0.11074,0.046774
1201,12,608.47,608.5,15,2,71,1,0,0.0333,0,1801.8,0,0,1,0,0.0333,0,1801.8,0,0,0,0
1201,12,608.53,608.6,15,2,72,1,0,0.0667,0,899.55,0,0,1,0,0.0667,0,899.55,0.099645,0.040032,0.099645,0.040032
1201,12,608.77,608.83,15,2,73,1,0,0.0666,0,900.9,0,0,0,0,0,0,0,0.11125,0.041912,0.11125,0.041912
1201,12,608.97,609.03,15,2,74,0.5,0,0.0333,0,900.9,0,0,0,0,0,0,0,0.12226,0.039246,0.12226,0.039246
1201,12,609.17,609.27,15,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0.15818,0.053298,0.15818,0.053298
1202,12,45.833,49.167,20,1,1,1,0,3.3333,0,18,0,0,0,0,0,0,0,0.29132,0.049256,0.28346,0.049092
1202,12,113.8,113.83,15,1,2,0,1,0,0.0333,0,1801.8,1,0,0.0333,0,1801.8,0,0.22488,0.046625,0.22488,0.046625
1202,12,160.57,160.63,20,1,3,1,0,0.0666,0,900.9,0,1,0,0.0666,0,900.9,0,0.41374,0.035203,0.41374,0.035203
1202,12,160.67,160.7,20,1,4,1,0,0.0333,0,1801.8,0,1,0,0.0333,0,1801.8,0,0,0,0,0
1202,12,160.73,163.9,20,1,5,1,0,3.1667,0,18.947,0,1,0,3.1667,0,18.947,0,0.42711,0.049893,0.41875,0.044627
1202,12,217.13,217.23,18,1,6,1,0,0.1,0,600,0,1,0,0.1,0,600,0,0.17559,0.082591,0.17584,0.082456
1202,12,279.67,280.53,8,1,7,0.5,0.076891,0.4333,0.066633,69.236,69.236,1,0,0.8666,0,69.236,0,0.16615,0.04529,0.16189,0.04393
1202,12,418.93,420,2,1,8,0,0,0,0,0,0,1,0,1.0667,0,56.248,0,0.12014,0.048177,0.11823,0.045668
1202,12,478.47,478.9,16,1,9,1,0,0.4333,0,138.47,0,0.76921,0,0.3333,0,138.47,0,0.35621,0.029999,0.38132,0.029385
